term,translation,notes
AAP,米国小児科学会（AAP）,
Academy of Nutrition and Dietetics,アメリカ栄 養士会（AND）,
ACC,米国化学工業協会（ACC）,PFASの禁止に反対
Acceptable Daily Intake,許容一日摂取量（ADI）,
Accredited Third-Party Certification program,認定第三者認証プログラム,
ACI,カンナビノイド産業協会（ACI）,
ACS,米国がん協会（ACS）,
action level,措置基準,初出時は末尾に（action level）を併記
Action on Salt,日本語表記はありません,専門家グループ
action plan,行動計画,
Ad hoc Joint FAO/WHO Expert Consultation on Risk Assessment of Food Allergens,FAO/WHO合同食物アレルゲンリスク評価専門家特別協議,
ADI,許容一日摂取量（ADI）,
ADUFA,動物用医薬品ユーザーフィー法（ADUFA）,
Advocate,提唱者,アドボケート
AEI,アメリカン・エンタープライズ研究所（AEI）,COVID-19の影響に関するパネルディスカッションを主催
AFA,台湾農糧署（AFA）,
AFBF,米国農業連合会（AFBF）,
AFDO,食品医薬品検査官協会（AFDO）,Association of Food and Drug Officials
AFFI,米国冷凍食品協会（AFFI）,
AFGE,米国行政府職員連合（AFGE）,
AFL-CIO,アメリカ労働総同盟・産業別組合会議（AFL-CIO）,米国最大の労働者団体
African Swine Fever,アフリカ豚コレラ,African Swine Fever
"Agency for Food, Environmental and Occupational Health & Safety",食品環境労働衛生安全庁（ANSES）,フランスの政府機関
ag-gag law,畜産場隠し撮り禁止法（通称ag-gag法）,
AGRI committee,農業・農村開発委員会,
Agricultural Appropriations bill,農業支出法案,
Agricultural Marketing Service,農業マーケティング局（AMS）,USDAの下部機関
Agriculture and Horticulture Development Board,農業園芸開発公社（AHDB）,
Agriculture and Rural Development (AGRI) Committee ,農業・農村開発（AGRI）委員会,欧州議会の委員会
Agriculture Minister Tereza Cristina,テレザ・クリスチナ農務相,
agri-food,農産食品,
agrifood system,アグリフードシステム,
AHA,アメリカ心臓協会（AHA）,
AHDB,農業園芸開発公社（AHDB）,
AHPA,米国ハーブ製品協会（AHPA）,
Alcohol and Tobacco Tax and Trade Bureau,アルコール・タバコ税貿易管理局（TTB）,アルコール飲料のラベル表示基準に関する新規則を発行
ALDF,動物法律擁護基金（ALDF）,
allulose,アルロース,
"－Also,",－ その他：,
Amarin Pharma,日本語表記はありません,
Amazon,アマゾン,
American Academy of Pediatrics,米国小児科学会（AAP）,
American Beverage Association,米国飲料協会（ABA）,ABA
American Cancer Society,米国がん協会（ACS）,
American Enterprise Institute,アメリカン・エンタープライズ研究所（AEI）,COVID-19の影響に関するパネルディスカッションを主催
American Farm Bureau Federation,米国農業連合会（AFBF）,
American Federation of Government Employees,米国行政府職員連合（AFGE）,
American Frozen Food Institute,アメリカ冷凍食品協会（AFFI）,
American Heart Association,アメリカ心臓協会（AHA）,
American Herbal Products Association,米国ハーブ製品協会（AHPA）,
American Soybean Association,アメリカ大豆協会（ASA）,
AMR,薬剤耐性（AMR）,
AMS,農業マーケティング局（AMS）,USDAの下部機関
AND,アメリカ栄養士会（AND）,
Animal and Plant Health Inspection Service,動植物検疫局（APHIS）,
Animal Digestible Food Packaging Initiative,動物が消化可能な食品包装イニシアチブ,
Animal Legal Defense Fund (ALDF),動物法律擁護基金（Animal Legal Defense Fund:ALDF）,
Animal Pharm,日本語表記はありません,動物医療に携わる
Animal Welfare Institute,動物福祉研究所（AWI）,
Anna Eshoo,アンナ・エシュー,
Annals of Internal Medicine,日本語表記はありません,医学雑誌
Annie's Homegrown,アニーズ・ホームグロウン,「ナチュラル」表示で訴えられる
Annual Agricultural Outlook Forum ,年次農業観測会議,USDAの会議
ANSES,食品環境労働衛生安全庁（ANSES）,フランスの政府機関
antibiotics,抗生物質,
antimicrobial resistance,薬剤耐性（AMR）,
APHIS,動植物検疫局（APHIS）,Animal and Plant Health Inspection Service
AquaBounty,AquaBounty社,
AquaBounty Technologies,アバウンティ・テクノロジーズ,遺伝子組み換えサーモンメーカー
Aquaculture Stewardship Council,水産養殖管理協議会（ASC）,
Archer Daniels Midland,ADM,米国の農業大手
ASC,水産養殖管理協議会（ASC）,
ASF,アフリカ豚コレラ（ASF）,
Aspen Institute,アスペン研究所,COVID-19営業再開ガイドラインを発表
Association of Food and Drug Official,食品医薬品監視員協議会（AFDO）,
Association of Food and Drug Officials,食品医薬品監視員協議会（AFDO）,
ASTA,米国スパイス貿易協会（ASTA）,
ATNI,栄養へのアクセス・イニシアチブ（ATNI）,
AWI,動物福祉研究所（AWI）,
B corp,B Corp,米国の非営利団体B Labによる認証基準
BASF,日本語表記はありません,ジカンバ製品を製造するドイツの化学メーカー。
Bayer,バイエル,
BBBs,優良企業協会（BBBs）,
BELTWAY NOTEBOOK:,米国政府関連情報：,
Ben & Jerry’s,ベン&ジェリーズ,アイスクリームメーカー
Bernstein,バーンスタイン社,
best-before date/best-if-used-by,賞味期限,アジアの非英語圏は、適宜内容を確認する
Better Business Bureaus,優良企業協会（BBBs）,
biopesticide,バイオ農薬,
Biotechnology Notification File,バイオテクノロジー協議の完了に関する公式文書（BNF）,
Blue Bell Creameries,ブルーベル・クリーマリー,アイスクリーム製造業者
BMJ,英国医師会雑誌（BMJ）,
Bonumose,日本語表記はありません,FDAに食品識別基準の緩和を請願
BRC,英国小売業協会（BRC）,British Retailers Consortium
BRF,日本語表記はありません,豚・鶏肉大手
British Medical Journal ,英国医師会雑誌（BMJ）,
Brucell,ブルセラ属菌,
BSE,牛海綿状脳症（BSE）,
BSI,英国規格協会（BSI）,
Burger King ,バーガーキング,
CADE,経済擁護行政委員会（CADE）,ブラジルの独占禁止法規制当局
CAFO,大規模畜産農場（CAFO）,
CAGR,年平均成長率,
CalChamber,カリフォルニア州商工会議,
CalChamber ,カリフォルニア州商工会議所（CalChamber ）,
California Code of Regulations,カリフォルニア州規則集（California Code of Regulations）,
Campbell Soup,キャンベル・スープ,
Campylobacter,カンピロバクター、カンピロバクター属菌,
Campylobacter jejuni,カンピロバクター・ジェジュニ,
campylobacteriosis,カンピロバクター症,
Canada Food Guide,カナダ食生活指針,
Canadian Food Inspection Agency,カナダ食品検査庁（CFIA）,
Canadian Health Food Association,カナダ健康食品協会,
Canopy Growth,キャノピー・グロース,カナダの大手大麻企業
CAP,共通農業政策（CAP）,
Carcinogenic to humans,ヒトに対して発がん性を有する,
Cargill ,カーギル,
CAST,農業科学技術委員会（CAST）,細胞培養肉に関する報告書を作成
CBA,消費者ブランド協会（CBA）,食料品製造業者協会（Grocery Manufacturers Association：GMA）の新名称
CBD,カンナビジオール（CBD）,
CBD American Shaman,CBDアメリカンシャーマン,CBDメーカー
CBP,米国税関国境警備局（CBP）,
CCC,商品金融公社（CCC）,
CCFH,コーデックス食品衛生部会（CCFH）,
CCFN,一般食品名称に関わるコンソーシアム,Consortium for Common Food Names
CCRVDF,コーデックス食品残留動物用医薬品部会（CCRVDF）,2回目以降は略称で表記
CDC,疾病管理予防センター（CDC）,
CEH,環境衛生センター（CEH）,Center for Environmental Health、食品安全などを訴える団体
CEH,英国生態水文学研究所（CEH）,Centre for Ecology＆Hydrology
cellular agriculture,細胞農業,
Center for Environmental Health,環境衛生センター（CEH）,食品安全などを訴える団体
Center for Food Safety,食品安全センター（CFS）,
Center for Produce Safety,農作物安全センター（CPS）,
Center for Science in the Public Interest,公益科学センター（CSPI）,
Center for Veterinary Medicine,動物用医薬品センター（CVM）,
Centers for Disease Control and Prevention,疾病管理予防センター（CDC）,
Centre for Ecology and Hydrology,英国生態水文学研究所（CEH）,
CEO,CEO,基本はそのままCEOとする。和訳すべき場合は、企業では「最高経営責任者」、政府機関では「最高責任者」などとする。
Ceres,セリーズ,持続可能性の向上を目指す団体
CERT,有害物質に関する教育・研究協議会（CERT）,
Certificate of Product Registration (CPR),製品登録証明（CPR）,
CETA,包括的経済貿易協定（CETA）,
CFA,全米消費者連合（CFA）,
CFNA,中国食品土畜進出口商会（CFNA）,
CFP,食品保護会議（CFP）,
CFS,食品安全センター（CFS）,消費者団体
CFTC,米商品先物取引委員会（CFTC）,
CFTC/AAC,商品先物取引委員会・農業諮問委員会（CFTC/AAC）,
CGA,圧縮ガス協会（CGA）,
CHD,冠動脈心疾患（CHD）,Coronary heart disease
chemical hazards,化学的ハザード,
Chick-Fil-A,チックフィレイ,抗生物質フリーの目標を達成した鶏肉企業
chief information officer,最高情報責任者,
chief product officer,最高製品責任者（CFO）,
China Phase One,米中貿易交渉の第1段階合意,
Chipotle Mexican Grill,チポトレ・メキシカン・グリル,
chlorpyrifos,クロルピリホス,
CHPA,消費者ヘルスケア製品協会（CHPA）,業界団体。CBD製品に関しFDAに請願
Circular Economy Action Plan,循環経済行動計画,欧州グリーンディールの一環
citrus greening,カンキツグリーニング病,
Classical Swine Fever,豚コレラ（CFS）,
Clean Label Project,クリーン・ラベル・プロジェクト,
Closer to Zero,さらにゼロに近づける（Closer to Zero）,
Coca-Cola ,コカ・コーラ,
Code of Practice,実施規範,
Codex,コーデックス委員会,
Codex Committee on Food Hygiene,コーデックス食品衛生部会（CCFH）,
Codex Committee on Residues of Veterinary Drugs in Foods,コーデックス食品残留動物用医薬品部会（CCRVDF）,2回目以降は略称で表記
Coldiretti,コルディレッティ,イタリアの農業者団体
color additive petition,色素添加物申請（CAP）,米国の制度
Commodities and Futures Trading Commission,米商品先物取引委員会（CFTC）,
Commodity Futures Trading Commission Agricultural Advisory Committee,商品先物取引委員会・農業諮問委員会（CFTC/AAC）,
Common Agricultural Policy,共通農業政策（CAP）,
compost, 堆肥,
Comprehensive Economic and Trade Agreement,包括的経済貿易協定（CETA）,
"Compressed Gas Association, Inc.",圧縮ガス協会（CGA）,
Conference for Food Protection,食品保護会議（CFP）,
Congress,米国議会,
Congressional Supply Chain Caucus,議会サプライチェーン議員会議,COVID-19による混乱への対応策などを考える
Conselho Administrativo de Defesa Economica,経済擁護行政委員会（CADE）,ブラジルの独占禁止法規制当局
Consortium for Common Food Names,一般食品名称に関わるコンソーシアム（CCFN）,
Consumer Federation of America,全米消費者連合（CFA）,
Consumer Reports,コンシューマー・レポート誌,
COOL,原産地表示制度（COOL）,
Coordinated Outbreak Response and Evaluation (CORE) Network,協調的集団感染対応評価（CORE）ネットワーク,米国FDAの食中毒対応ネットワーク
coronary heart disease,冠動脈心疾患（CHD）,
Corteva,コルテバ,クロルピリホスを製造
Costco Wholesale Corp.,コストコホールセール,
Council of Agricultural Science and Technology,農業科学技術委員会（CAST）,細胞培養肉に関する報告書を作成
Country Crock,日本語表記はありません,「植物性バター」を製造
court order,裁判所命,
COVID-19,新型コロナウイルス感染症（COVID-19）,
CPG,消費財,Consumer Packaged Goods
CPS,農産物安全センター（CPS）,
CRC,共同研究センター,Cooperative Research Centre
CRN,米国栄養評議会（CRN）,
CSF,豚コレラ（CFS）,
CSPI,公益科学センター（CSPI）,Center for Science in the Public Interest（米国の消費者団体）
Curaleaf,キュラリーフ,大麻企業
Customs broker,通関業者,
CV Sciences,日本語表記はありません,CBDメーカー
Cyclospora,サイクロスポーラ,
Cyclospora cayetanensis,サイクロスポーラ・カイエタネンシス(Cyclospora cayetanensis) ,
Danone,ダノン,
Data Universal Numbering System (DUNS) number,DUNSナンバー,
David Acheson,デイビッド・アチソン,David Acheson
D-Calif.,民主党-カリフォルニア州,
D-Conn,民主党-コネチカット州,
Dean Foods,ディーン・フーズ,
defend,擁護,
DEFRA,環境・食糧・農村地域省（DEFRA）,
DeLauro,デローロ議員,
Department for Environment Food and Rural Affairs,Search Results Web results  環境・食糧・農村地域省（DEFRA）,
Department of Justice,米国司法省（DOJ）,
Department of Pesticide Regulation,農薬規制局（DPR）,
Department of Trade and Industry (DTI),フィリピン貿易産業省（DTI）,
Deputy Commissioner for Food Policy and Response,食品政策・対応担当副長官,
deputy under secretary for food safety,食品安全担当副次官,
DFA,米国酪農協同組合（DFA）,
DGAC,食事ガイドライン諮問委員会（DGAC）,
Diamond CBD,ダイヤモンドCBD,CBDメーカー
Dietary Guidelines Advisory Committee,食事ガイドライン諮問委員会（DGAC）,
Dietary Guidelines for Americans,米国人のための食事ガイドライン,
dietary supplement,ダイエタリーサプリメント,
Dietary Supplement Health and Education Act,ダイエタリーサプリメント健康教育法（DSHEA）,DSHEA
DOC,米国商務省（DOC）,
DOJ ,米国司法省（DOJ ）,
Dole,ドール,
DPR,農薬規制局（DPR）,
DSHEA,栄養補助食品健康教育法（DSHEA）,
D-tagatose,D-タガトース,
E. coli,大腸菌,
E.coli,大腸菌,
EASAC,欧州アカデミー科学諮問委員会（EASAC）,
EAT-Lancet Commission,EATランセット委員会,肉の摂取削減を提言
EC,欧州委員会（EC）,FALSE
ECDC,欧州疾病予防管理センター（ECDC）,
ECHA,欧州化学品庁（ECHA）,European Chemicals Agency
Echinococcus,エキノコックス,
ECI,欧州市民イニシアチブ（ECI）,
ECJ,欧州司法裁判所（ECJ）,
E-Commerce,eコマース,
Economic Research Service,経済調査局（ERS）,USDAの下部機関
EDF,環境防衛基金（EDF）,
EFSA,欧州食品安全機関（EFSA）,European Food Safety Authority
Egg Nutrition Center,卵栄養センター（ENC）,ENC
Endangered Species Act,絶滅危機生物保護法（ESA）,
endocrine disruptor,内分泌かく乱物質,
Environmental Defense Fund,環境防衛基金（EDF）,
environmental inhibitor,環境阻害剤,
Environmental Protection Agency,米国環境保護庁（EPA）,
EP,欧州議会（EP）,
EPA,米国環境保護庁（EPA）,Environmental Protection Agency
ERS,経済調査局（ERS）,USDAの下部機関
ESA,絶滅危機生物保護法（ESA）,
ESBL,基質特異性拡張型βラクタマーゼ（ESBL）,
EU,欧州連合（EU）,
EU’s Intellectual Property Office,欧州連合知的財産庁（EUIPO）,EUIPO
European Academies Science Advisory Council,欧州アカデミー科学諮問委員会（EASAC）,
European Centre for Disease Prevention and Control,欧州疾病予防管理センター（ECDC）,
European Citizens’ Initiative,欧州市民イニシアチブ（ECI）,
European Commission,欧州委員会,ECと略す場合もあり
European Court of Justice,欧州司法裁判所（ECJ）,
European Dairy Association,欧州酪農協会,
European Food Safety Authority,欧州食品安全機関（EFSA）,
European Food Safety Authority ,欧州食品安全機関（EFSA）,
European Livestock and Meat Trades Union,欧州家畜食肉取引業者連盟（UECBV）,
European Parliament,欧州議会,EPと略す場合もあり
European Parliament’s Petitions Committee ,欧州議会請願委員会,請願書の審査などを行う委員会
European Union Reference Laboratories,欧州連合基準研究所,
EWG,環境ワーキンググループ（EWG）,「農薬に汚染された12の農産物リスト」などを発表
exposure,曝露,
extended-spectrum β-lactamase,基質特異性拡張型βラクタマーゼ（ESBL）,
F&WW,食と水の監視（F&WW）,
factory farm,工場式農場,
FAIRR,畜産動物投資リスク・リターン（FAIRR）,投資家ネットワーク
FALCPA,食物アレルゲン表示・消費者保護法（FALCPA）,米国の法律
FAO,国連食糧農業機関（FAO）,
Farm Animal Investment Risk and Return,畜産動物投資リスク・リターン（FAIRR）,投資家ネットワーク
Farm Bill,農業法案,
FASTER Act,食物アレルギーの安全、治療、教育および研究に関する法律（FASTER法）,米国の法律
FCF Co.,FCF社,台湾のマグロ加工業者
FD&C Act,連邦食品・医薬品・化粧品法（FD&C法）,
FDA,米国食品医薬品局（FDA）,Food and Drugs Administration
FDLI,食品医薬品法研究協会（FDLI）,
Federal Customs Service of Russia ,ロシア連邦税関局 （FTS）,
"Federal Food, Drug, and Cosmetic Act",連邦食品・医薬品・化粧品法（FD&C法）,
Federal Open Market Committee,連邦公開市場委員会 ,
Federal Register,連邦官報,米国のFederal Registerの訳
Federal Register Notice,連邦官報告示,米国のFederal Register Noticeの訳
Federal Trade Commission,連邦取引委員会（FTC）,
first-mover advantage,先行者利益,
Flexible Vinyl Alliance ,軟質ビニル連盟（FVA）,
FMCG,低価格日用消費財,Fast Moving Consumer Goods
FMI,食品マーケティング協会（FMI）,
FNS,食料栄養局（FNS）,Food and Nutrition Service
FOMC,連邦公開市場委員会 ,Federal Open Market Committee
Food & Ag Briefing:,先週の食品・農業政策の概要：,
Food & Water Watch,Food & Water Watch,Food and Water Watch （F&WW：「食と水の監視」）
Food Additive Petition,食品添加物申請（FAP）,
Food Advisory Committee,食品諮問委員会,
Food Allergen Labeling and Consumer Protection Act,食物アレルゲン表示・消費者保護法（FALCPA）,米国の法律
"Food Allergy Safety, Treatment, Education and Research Act",食物アレルギーの安全、治療、教育および研究に関する法律（FASTER法）,米国の法律
Food and Agriculture Organisation,国連食糧農業機関（FAO）,
Food and Agriculture Organization,国連食糧農業機関（FAO）,
Food and Drug Law Institute,食品医薬品法研究協会（FDLI）,
Food and Nutrition Service,食料栄養局（FNS）,FNS
Food attorney,食品関連法専門弁護士,
food chain,フードチェーン,
Food Code,食品コード,初出時は（Food Code：食品衛生規則）を併記
food contact material,食品接触材料,
Food Contact Notification,食品接触通知（FCN),
food defense,食品防御,
food fraud,食品偽装,
Food Marketing Institute,食品マーケティング協会（FMI）,
food safety advocacy group,食品安全擁護派,
Food safety advocates,食品安全推進派,
Food Safety and Applied Nutrition,米国食品安全・応用栄養センター（CFSAN）,
Food Safety and Inspection Service,食品安全検査局（FSIS）,USDAの下部機関
Food Safety Authority of Ireland,アイルランド食品安全局（FSAI）,
Food Safety Foresight Programme,食品安全予測プログラム,
food safety management system,食品安全マネジメントシステム（FSMS）,
Food Safety Modernization Act,食品安全強化法（FSMA）,
Food Standards Australia New Zealand,オーストラリア・ニュージーランド食品基準機関（FSANZ）,
food supplement,フードサプリメント,
"Food, Drug and Cosmetic Act",連邦食品・医薬品・化粧品法,
foodborne illness,食品由来疾病、食中毒,
Foods for Special Medical Purposes(FSMP),特別医療用途食品（FSMP）,※国や機関ごとに意味、定義が異なるので適切な訳を調べてください
FOP,容器包装前面（FOP）,
Foreign Supplier Verification Program,外国供給業者検証プログラム（FSVP）,
Foundation FSSC,FSSC財団,
Frank Yiannas,フランク・イアナス,
Frans Timmermans,フランス・ティメルマンス,欧州委員会の上級副委員長（2022年9月時点）
Fresh Express,日本語表記はありません,サラダ製品で食中毒発生
friend-of-the-court brief,法廷助言者文書,
front of pack,容器包装前面（FOP）,
front of package,容器包装前面（FOP）,
FSA,英国食品基準庁（FSA）,
FSAI,アイルランド食品安全局（FSAI）,
FSANZ,オーストラリア・ニュージーランド食品基準機関（FSANZ）,
FSC,森林管理協議会（FSC）,森林管理の認証を行う
FSIS,食品安全検査局（FSIS）,USDAの下部機関
FSMA,食品安全強化法（FSMA）,
FSMS,食品安全マネジメントシステム（FSMS）,
FSSC,食品安全システム認証（FSSC）,
FSVP,外国供給業者検証プログラム（FSVP）,
FTC,連邦取引委員会（FTC）,
FVE,スペインワイン連盟（FVE）,
GAO,米国政府説明責任局（GAO）,
GAP,政府説明責任プロジェクト（GAP）,Government Accountability Project、内部告発したUSDA検査官の代理を務める団体
GAP,農業生産工程管理（GAP),※初出時は英語を併記
gene-edited,遺伝子編集,
general data protection regulation,一般データ保護規則（GDPR）,
General Mills,ゼネラル・ミルズ,
Geographical Indications,地理的表示（GI）,
George Institute for Global Health ,日本語表記はありません,医学研究所
GFI,グッドフードインスティテュート（GFI）,
GFSI,世界食品安全イニシアチブ（GFSI）,
GFSI ,世界食品安全イニシアチブ（GFSI ）,
GI,地理的表示,
GIPSA,穀物検査食肉流通局（GIPSA）,
Givaudan,ジボダン社,
Global Food Safety Initiative’s (GFSI),世界食品安全イニシアチブ（GFSI）,
Global Widget,日本語表記はありません,CBDメーカー
glyphosate,グリホサート,glyphosate
GMA,グロサリー製造業者協会（GMA）,
GMO,遺伝子組換え（GMO）,
GNC,日本語表記はありません,合成植物成分をサプリメントの成分として認めるよう要請
Good Agricultural Practice,農業生産工程管理（GAP),※初出時は英語を併記
Good Agricultural Practices,農業生産工程管理（GAP),※初出時は英語を併記
Good Food Institute,グッドフードインスティテュート（GFI）,
Good Manufacturing Practice,適正製造規範（GMP）,
Gottlieb,ゴットリーブ長官,スコット・ゴットリーブFDA長官
Government Accountability Office,米国政府説明責任局（GAO）,
Grana Padano,グラナ・パダーノ,
GRAS,「一般的に安全と認められる（GRAS）」食品成分に関する規則,
Grocery Manufacturers Association,食料品製造業者協会（GMA）,
HACCP,危害分析重要管理点（HACCP:ハサップ）,
Harbin Veterinary Research Institute,ハルビン獣医研究所,中国の研究所。
hazard,ハザード,
Hazard Analysis and Risk-Based Preventive Controls for Human Food,ヒト用食品のハザード分析およびリスクに基づく予防管理,
Health and Safety Code,安全衛生法,カリフォルニア州の規則（外務省訳に準拠）
Health Canada,カナダ保健省,
health claims,健康強調表示,
Health Star Rating,ヘルス・スター・レーティング（HSR）,
Hellman's,ヘルマンズ,“better-for-you” 表示が問題に
hemp seed,ヘンプシード,
hemp seed oil,ヘンプシードオイル,
hemp seed protein,ヘンプシードプロテイン,
Hershey’s,ハーシー,
HHS,米国保健社会福祉省 （HHS）,Human and Health Services
Highly Pathogenic Avian Influenza,高病原性鳥インフルエンザ（HPAI）,HPAI
HIMP,HACCPに基づいた検査モデル計画（HIMP）,
Hormel Foods,ホーメル・フーズ,
House,米国下院,
House Agriculture Committee,下院農業委員会,
House Appropriations Committee,米国下院歳出委員会,
House appropriations subcommittee,米国下院歳出小委員会,
HPAI,高病原性鳥インフルエンザ（HPAI）,highly pathogenic avian influenza
HSR,ヘルス・スター・レーティング（HSR）,
HSUS,米国動物愛護協会（HSUS）,
Human and Health Services,米国保健福祉省 （HHS）,HHS
Humane Society of the United States,米国動物愛護協会（HSUS）,
IAFP,国際食品保護協会（IAFP）,食品安全専門家の団体
IARC,国際がん研究機関（IARC）,International Agency for Research on Cancer
IBFAN,乳児用食品国際行動ネットワーク（IBFAN）,
IDFA,国際乳製品協会（IDFA）,International Dairy Foods Association
IFIC,国際食品情報協議会（IFIC）,食や健康に関する調査などを行う食品業界団体
IFSAC,食品安全分析に関する省庁間協力（IFSAC）,
IFT,食品技術者協会,
IFT19,IFT 19食品素材見本市（IFT 19）,
IHS Markit,IHSマークイット,
ILSI,国際生命科学研究機構（ILSI）,
Impossible Foods,インポッシブル・フーズ,
Infant Formula,乳児用調製乳,
Informa,日本語表記はありません,会議「Food Ingredients Europe」を開催
initiative,イニシアチブ,文脈によっては「構想」や「取り組み」も
Interagency Food Safety Analytics Collaboration,食品安全分析に関する省庁間協力,IFSAC
International Agency for Research on Cancer,国際がん研究機関（IARC） ,
International Association for Food Protection,国際食品保護協会（IAFP）,食品安全専門家の団体
International Dairy Foods Association,国際乳製品協会（IDFA）,IDFA
International Life Sciences Institute,国際生命科学研究機構（ILSI）,
inventory visibility,在庫状況確認,
ISO,国際標準化機構（ISO）,
isomaltooligosaccharide (IMO),イソマルトオリゴ糖 （IMO）,
J.M. Smucker,J.M.スマッカー,Jifブランドのピーナッツバターを製造
Jair Bolsonaro,ジャイル・ボルソナロ,ブラジル大統領
JBS,日本語表記はありません,
JECFA,FAO/WHO合同食品添加物専門家会議（JECFA）,
